match_id,leagueid,radiant.team_id,radiant.name,radiant.tag,radiant.logo_url,dire.team_id,dire.name,dire.tag,dire.logo_url
8629775836,16110,8987220,HolyTeam,HT,https://cdn.steamusercontent.com/ugc/11451288368715789657/9F2DAA9F53E2846956BD4334856A1571888579BC/,8879077,Titan Strikers,Ts,https://cdn.steamusercontent.com/ugc/17496754558050466858/4302EEC3EDF2F9050006D44B15D29C8DFE6148BA/
8630074405,17233,9425656,LSG,LSG,https://cdn.steamusercontent.com/ugc/2497885570409092010/7A0CAB8AFDEC8BDE65F27E01C713A6B5459B65AD/,2443375,Foxy gaming,Foxy,https://cdn.steamusercontent.com/ugc/15835594133889566070/D9F2852995D07361029600CFB97DAC1DF653098B/
8630112237,17233,2443375,Foxy gaming,Foxy,https://cdn.steamusercontent.com/ugc/15835594133889566070/D9F2852995D07361029600CFB97DAC1DF653098B/,9425656,LSG,LSG,https://cdn.steamusercontent.com/ugc/2497885570409092010/7A0CAB8AFDEC8BDE65F27E01C713A6B5459B65AD/
8630157040,17233,9768243,Night Force,NF,https://cdn.steamusercontent.com/ugc/17968260980523334862/4AFB4090FE5B56377C9EB918E05F8BF9DA5167FA/,9814269,Riftwalkers,RW.,https://cdn.steamusercontent.com/ugc/12923546594089256981/434C6430FD0EEB9E3AF7BAEF26647B47B349ECEA/
8630192977,17233,9814269,Riftwalkers,RW.,https://cdn.steamusercontent.com/ugc/12923546594089256981/434C6430FD0EEB9E3AF7BAEF26647B47B349ECEA/,9768243,Night Force,NF,https://cdn.steamusercontent.com/ugc/17968260980523334862/4AFB4090FE5B56377C9EB918E05F8BF9DA5167FA/
8630246804,17233,9768002,Lunar Vibes,LV.,https://cdn.steamusercontent.com/ugc/17496570273790358715/BC3F9F10812A718EE45DD10CBA85B2D80B5A13F2/,8629315,Wiser Warriors,WW,https://cdn.steamusercontent.com/ugc/16915675334385514153/1BF96EB83A5F9BD1DB63CB356D75A67698BC4FFB/
8630283166,17233,8629315,Wiser Warriors,WW,https://cdn.steamusercontent.com/ugc/16915675334385514153/1BF96EB83A5F9BD1DB63CB356D75A67698BC4FFB/,9768002,Lunar Vibes,LV.,https://cdn.steamusercontent.com/ugc/17496570273790358715/BC3F9F10812A718EE45DD10CBA85B2D80B5A13F2/
8630293446,17233,9425656,LSG,LSG,https://cdn.steamusercontent.com/ugc/2497885570409092010/7A0CAB8AFDEC8BDE65F27E01C713A6B5459B65AD/,9767998,Nova Pulse,Np,https://cdn.steamusercontent.com/ugc/14957676909853784322/CFAAF12C155D813F1A550D331DD6BAF02CDE0B66/
8630300765,18867,8831040,Ghost Sheep,GS,https://cdn.steamusercontent.com/ugc/1812159972016009901/2463CD2FDC05838CACEB66AAE27F597798C40B34/,9879307,Air Defence,,https://cdn.steamusercontent.com/ugc/11095119425269874505/4652B2349FA5A0FA2838478E57307F0EC49D962D/
8630340540,17233,9767998,Nova Pulse,Np,https://cdn.steamusercontent.com/ugc/14957676909853784322/CFAAF12C155D813F1A550D331DD6BAF02CDE0B66/,9425656,LSG,LSG,https://cdn.steamusercontent.com/ugc/2497885570409092010/7A0CAB8AFDEC8BDE65F27E01C713A6B5459B65AD/
8630386725,17233,9425656,LSG,LSG,https://cdn.steamusercontent.com/ugc/2497885570409092010/7A0CAB8AFDEC8BDE65F27E01C713A6B5459B65AD/,9767998,Nova Pulse,Np,https://cdn.steamusercontent.com/ugc/14957676909853784322/CFAAF12C155D813F1A550D331DD6BAF02CDE0B66/
8630393108,18867,9828921,Air Defence,,https://cdn.steamusercontent.com/ugc/17727916518495667984/71BFF3236859F5696792263022626938A975FBD6/,8831040,Ghost Sheep,GS,https://cdn.steamusercontent.com/ugc/1812159972016009901/2463CD2FDC05838CACEB66AAE27F597798C40B34/
8630420436,19066,3787312,NC,NC,https://cdn.steamusercontent.com/ugc/169285838349640478/47214C093EB2AE6D726DE04A49300316BD8D10E2/,10008991,你别管,,https://cdn.steamusercontent.com/ugc/12860018300930421547/529BF1B2F31BB9220BB2CCB1C2AF31D26CD2DBF3/
8630444851,17233,9426115,Dark Rebellion,DR,https://cdn.steamusercontent.com/ugc/2471989872563605684/46813E19616E0715D879EFB5049D3A1DE331488B/,9878494,LV United,,https://cdn.steamusercontent.com/ugc/12184752726728675727/79B07F39DC4784D176F472E9AA6783D6C45EB190/
8630488438,19066,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>
8630513959,17233,9878494,LV United,,https://cdn.steamusercontent.com/ugc/12184752726728675727/79B07F39DC4784D176F472E9AA6783D6C45EB190/,9426115,Dark Rebellion,DR,https://cdn.steamusercontent.com/ugc/2471989872563605684/46813E19616E0715D879EFB5049D3A1DE331488B/
8630542569,18867,9820361,Team Yakuza,YKZ,https://cdn.steamusercontent.com/ugc/9782203074421085551/A6C4ED6057E5BADC96FE7BE720EC260084C534D0/,8831040,Ghost Sheep,GS,https://cdn.steamusercontent.com/ugc/1812159972016009901/2463CD2FDC05838CACEB66AAE27F597798C40B34/
8630563472,17233,9768243,Night Force,NF,https://cdn.steamusercontent.com/ugc/17968260980523334862/4AFB4090FE5B56377C9EB918E05F8BF9DA5167FA/,8629315,Wiser Warriors,WW,https://cdn.steamusercontent.com/ugc/16915675334385514153/1BF96EB83A5F9BD1DB63CB356D75A67698BC4FFB/
8630575906,19066,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>
8630610063,18867,8831040,Ghost Sheep,GS,https://cdn.steamusercontent.com/ugc/1812159972016009901/2463CD2FDC05838CACEB66AAE27F597798C40B34/,9820361,Team Yakuza,YKZ,https://cdn.steamusercontent.com/ugc/9782203074421085551/A6C4ED6057E5BADC96FE7BE720EC260084C534D0/
8630626806,17233,8629315,Wiser Warriors,WW,https://cdn.steamusercontent.com/ugc/16915675334385514153/1BF96EB83A5F9BD1DB63CB356D75A67698BC4FFB/,9768243,Night Force,NF,https://cdn.steamusercontent.com/ugc/17968260980523334862/4AFB4090FE5B56377C9EB918E05F8BF9DA5167FA/
8630652738,19066,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>
8630684878,18867,9636142,Ghost Sheep,GS,https://cdn.steamusercontent.com/ugc/26556371895243836/2463CD2FDC05838CACEB66AAE27F597798C40B34/,9820361,Team Yakuza,YKZ,https://cdn.steamusercontent.com/ugc/9782203074421085551/A6C4ED6057E5BADC96FE7BE720EC260084C534D0/
8630765623,18867,9710058,Shinigami Gaming,SG,https://cdn.steamusercontent.com/ugc/13052583762130971/C12857D2734CBDE2305EBCB7FABFB66FC5D5C148/,9718665,Eye Gaming,,https://cdn.steamusercontent.com/ugc/9676130257263274/20CB1AA41471ABE1B5C460D8CBDE915E595F8B23/
8630818178,18867,9718665,Eye Gaming,,https://cdn.steamusercontent.com/ugc/9676130257263274/20CB1AA41471ABE1B5C460D8CBDE915E595F8B23/,9710058,Shinigami Gaming,SG,https://cdn.steamusercontent.com/ugc/13052583762130971/C12857D2734CBDE2305EBCB7FABFB66FC5D5C148/
8630891333,18867,9718665,Eye Gaming,,https://cdn.steamusercontent.com/ugc/9676130257263274/20CB1AA41471ABE1B5C460D8CBDE915E595F8B23/,9710058,Shinigami Gaming,SG,https://cdn.steamusercontent.com/ugc/13052583762130971/C12857D2734CBDE2305EBCB7FABFB66FC5D5C148/
8630966219,16110,8987220,HolyTeam,HT,https://cdn.steamusercontent.com/ugc/11451288368715789657/9F2DAA9F53E2846956BD4334856A1571888579BC/,8849817,ZEUS THUNDER GOD,ZTG,https://cdn.steamusercontent.com/ugc/1832426636071192128/298F144FCABFB502E6C9FE1DA66F61D9181A0C9F/
8631020015,16110,8849817,ZEUS THUNDER GOD,ZTG,https://cdn.steamusercontent.com/ugc/1832426636071192128/298F144FCABFB502E6C9FE1DA66F61D9181A0C9F/,8987220,HolyTeam,HT,https://cdn.steamusercontent.com/ugc/11451288368715789657/9F2DAA9F53E2846956BD4334856A1571888579BC/
8631064928,16110,9025669,CrimsonSky,CS,https://cdn.steamusercontent.com/ugc/9869145255454310108/C48D0B6C8A36839BACAC2551931EAAC88B295200/,8849837,FALL VICTIMS,FV,https://cdn.steamusercontent.com/ugc/1839182035511443777/DF26E33597EAEB9EBB3F085DA1CA7667E5E11BCB/
8631122252,16110,8849837,FALL VICTIMS,FV,https://cdn.steamusercontent.com/ugc/1839182035511443777/DF26E33597EAEB9EBB3F085DA1CA7667E5E11BCB/,9025669,CrimsonSky,CS,https://cdn.steamusercontent.com/ugc/9869145255454310108/C48D0B6C8A36839BACAC2551931EAAC88B295200/
8631156952,16110,8849990,REAL ECLIPSE,RE,https://cdn.steamusercontent.com/ugc/14284032353933565555/361F2A6C8D795A02396A031F45011DC69AD552AE/,8879077,Titan Strikers,Ts,https://cdn.steamusercontent.com/ugc/17496754558050466858/4302EEC3EDF2F9050006D44B15D29C8DFE6148BA/
8631192711,16110,8879077,Titan Strikers,Ts,https://cdn.steamusercontent.com/ugc/17496754558050466858/4302EEC3EDF2F9050006D44B15D29C8DFE6148BA/,8849990,REAL ECLIPSE,RE,https://cdn.steamusercontent.com/ugc/14284032353933565555/361F2A6C8D795A02396A031F45011DC69AD552AE/
8631218362,16110,8849990,REAL ECLIPSE,RE,https://cdn.steamusercontent.com/ugc/14284032353933565555/361F2A6C8D795A02396A031F45011DC69AD552AE/,8879077,Titan Strikers,Ts,https://cdn.steamusercontent.com/ugc/17496754558050466858/4302EEC3EDF2F9050006D44B15D29C8DFE6148BA/
8631247606,16110,9048057,Vitality Warriors,VW,https://cdn.steamusercontent.com/ugc/17280406763143238966/0C86B02A1DE162738528F0D26F28A9663D680034/,8850100,TOXIC TEAM,Tt,https://cdn.steamusercontent.com/ugc/14054185356744483841/21F5207FA69BBFDEAE66FC1A852FBCFF09FCD140/
8631262616,19148,9579337,YB.Tearlaments,YB.TT,https://cdn.steamusercontent.com/ugc/17004155546796246644/C6D54B03FB7B2254E30CFB3E579B82A6B3D95774/,9886289,Cloud Rising,,https://cdn.steamusercontent.com/ugc/16842259658864392628/8ACB6192E62298871A51D0D7B0DFDBA73BFE6F44/
8631265200,19148,10008012,Jitsu,Jitsu,https://cdn.steamusercontent.com/ugc/16307037052452639312/B4CC324D519A63AF32A42FE8F4062F4170AA6A65/,9885928,Thriving,THR,https://cdn.steamusercontent.com/ugc/15300721713845547564/341D7E2065039C83E348D88E6C28C229B2B01C63/
8631267673,19148,10014559,Lemnisgate!,,,10014558,TEAM YAOBIE,GSHY,
8631274986,16110,8850100,TOXIC TEAM,Tt,https://cdn.steamusercontent.com/ugc/14054185356744483841/21F5207FA69BBFDEAE66FC1A852FBCFF09FCD140/,9048057,Vitality Warriors,VW,https://cdn.steamusercontent.com/ugc/17280406763143238966/0C86B02A1DE162738528F0D26F28A9663D680034/
8631303123,16110,9048057,Vitality Warriors,VW,https://cdn.steamusercontent.com/ugc/17280406763143238966/0C86B02A1DE162738528F0D26F28A9663D680034/,8850100,TOXIC TEAM,Tt,https://cdn.steamusercontent.com/ugc/14054185356744483841/21F5207FA69BBFDEAE66FC1A852FBCFF09FCD140/
8631308776,19148,9444076,NGNB,,https://cdn.steamusercontent.com/ugc/2453978011446860015/C387846B739B76C33165CB2671AD401EFFA493B2/,9885310,Roar,,https://cdn.steamusercontent.com/ugc/18408146465981986437/CCA9A02305890B647AD50B62CC974C83CC87B551/
8631310457,19148,9579337,YB.Tearlaments,YB.TT,https://cdn.steamusercontent.com/ugc/17004155546796246644/C6D54B03FB7B2254E30CFB3E579B82A6B3D95774/,9885928,Thriving,THR,https://cdn.steamusercontent.com/ugc/15300721713845547564/341D7E2065039C83E348D88E6C28C229B2B01C63/
8631361196,17233,9768002,Lunar Vibes,LV.,https://cdn.steamusercontent.com/ugc/17496570273790358715/BC3F9F10812A718EE45DD10CBA85B2D80B5A13F2/,9814269,Riftwalkers,RW.,https://cdn.steamusercontent.com/ugc/12923546594089256981/434C6430FD0EEB9E3AF7BAEF26647B47B349ECEA/
8631381335,17233,9814269,Riftwalkers,RW.,https://cdn.steamusercontent.com/ugc/12923546594089256981/434C6430FD0EEB9E3AF7BAEF26647B47B349ECEA/,9768002,Lunar Vibes,LV.,https://cdn.steamusercontent.com/ugc/17496570273790358715/BC3F9F10812A718EE45DD10CBA85B2D80B5A13F2/
8631383235,19148,10014526,RNG反诈先锋,,,10014558,TEAM YAOBIE,GSHY,
8631383623,19148,9894442,Cloud Dawning,,https://cdn.steamusercontent.com/ugc/14902495797655592415/9D4BC87F4C98F71C68CB31409D2695A25967AA16/,9885310,Roar,,https://cdn.steamusercontent.com/ugc/18408146465981986437/CCA9A02305890B647AD50B62CC974C83CC87B551/
